"Table 23 Housing market: simple average house prices by new/other dwellings, type of buyer and  region, United Kingdom, from 1986 1, 2, 3",,,,,,,,,,
Previously DCLG table 503,,,,,,,,,,
,,New dwellings,,Other dwellings,,All dwellings,,First time buyers,,Former owner occupiers
,,Price,,Price,,Price,,Price,,Price
,,£,,£,,£,,£,,£
UNITED KINGDOM,,,,,,,,,,
K02000001,,,,,,,,,,
2019,,"470,000",,"552,000",,"538,000",,"428,000",,"697,000"
2020,,"471,000",,"597,000",,"575,000",,"457,000",,"750,000"
2021,,"451,000",,"628,000",,"603,000",,"463,000",,"810,000"
,,,,,,,,,,
SOUTH EAST,,,,,,,,,,
E12000008,,,,,,,,,,
1986,,"56,000",,"48,000",,"49,000",,"36,000",,"59,000"
1987,,"68,000",,"56,000",,"58,000",,"42,000",,"70,000"
1988,,"91,000",,"71,000",,"73,000",,"52,000",,"88,000"
1989,,"97,000",,"80,000",,"83,000",,"59,000",,"105,000"
1990,,"93,000",,"80,000",,"82,000",,"61,000",,"102,000"
1991,,"93,000",,"79,000",,"81,000",,"58,000",,"98,000"
1992,,"88,000",,"75,000",,"77,000",,"56,000",,"95,000"
1993,,"88,000",,"75,000",,"77,000",,"57,000",,"97,000"
1994,,"94,000",,"80,000",,"83,000",,"59,000",,"105,000"
1995,,"105,000",,"79,000",,"83,000",,"56,000",,"106,000"
1996,,"113,000",,"85,000",,"88,000",,"58,000",,"109,000"
1997,,"121,000",,"92,000",,"95,000",,"64,000",,"115,000"
1998,,"126,000",,"104,000",,"106,000",,"77,000",,"125,000"
1999,,"165,000",,"118,000",,"122,000",,"91,000",,"140,000"
2000,,"185,000",,"139,000",,"143,000",,"104,000",,"164,000"
2001,,"196,000",,"155,000",,"157,000",,"118,000",,"178,000"
2002,,"231,000",,"176,000",,"180,000",,"143,000",,"195,000"
2003,,"276,000",,"213,000",,"215,000",,"150,000",,"227,000"
2004,,"280,000",,"233,000",,"237,000",,"170,000",,"249,000"
2005,,"276,000",,"241,000",,"244,000",,"174,000",,"263,000"
2006,,"271,000",,"256,000",,"257,000",,"176,000",,"291,000"
