,Region,House Price to Earnings Ratio,Date
612,Wales,6,10/01/2006
613,Scotland,5.2,10/01/2006
614,N Ireland,7.4,10/01/2006
615,UK,6.1,10/01/2006
616,North,5.3,01/01/2007
617,Yorks & H,5.9,01/01/2007
618,N West,5.8,01/01/2007
619,E Mids,5.7,01/01/2007
620,W Mids,6.1,01/01/2007
621,E Anglia,6.4,01/01/2007
622,Outer SE,7,01/01/2007
623,Outer Met,7.2,01/01/2007
624,London,7.9,01/01/2007
625,S West,7.4,01/01/2007
626,Wales,6,01/01/2007
627,Scotland,5.3,01/01/2007
628,N Ireland,8.3,01/01/2007
629,UK,6.2,01/01/2007
630,North,5.5,04/01/2007
631,Yorks & H,6,04/01/2007
632,N West,5.9,04/01/2007
633,E Mids,5.8,04/01/2007
634,W Mids,6.3,04/01/2007
635,E Anglia,6.6,04/01/2007
636,Outer SE,7.2,04/01/2007
637,Outer Met,7.4,04/01/2007
638,London,8.2,04/01/2007
639,S West,7.5,04/01/2007
640,Wales,6.2,04/01/2007
641,Scotland,5.6,04/01/2007
642,N Ireland,9.1,04/01/2007
643,UK,6.4,04/01/2007
644,North,5.4,07/01/2007
645,Yorks & H,6,07/01/2007
646,N West,5.9,07/01/2007
647,E Mids,5.8,07/01/2007
648,W Mids,6.2,07/01/2007
649,E Anglia,6.6,07/01/2007
650,Outer SE,7.2,07/01/2007
651,Outer Met,7.5,07/01/2007
652,London,8.3,07/01/2007
653,S West,7.6,07/01/2007
654,Wales,6,07/01/2007
655,Scotland,5.7,07/01/2007
656,N Ireland,9.2,07/01/2007
657,UK,6.4,07/01/2007
658,North,5.3,10/01/2007
659,Yorks & H,5.8,10/01/2007
660,N West,5.8,10/01/2007
661,E Mids,5.7,10/01/2007
662,W Mids,6.2,10/01/2007
663,E Anglia,6.5,10/01/2007
664,Outer SE,7.1,10/01/2007
665,Outer Met,7.4,10/01/2007
666,London,8.3,10/01/2007
667,S West,7.5,10/01/2007
668,Wales,6,10/01/2007
669,Scotland,5.5,10/01/2007
670,N Ireland,9,10/01/2007
671,UK,6.3,10/01/2007
672,North,5.2,01/01/2008
673,Yorks & H,5.7,01/01/2008
674,N West,5.6,01/01/2008
675,E Mids,5.6,01/01/2008
676,W Mids,6,01/01/2008
677,E Anglia,6.3,01/01/2008
678,Outer SE,7,01/01/2008
679,Outer Met,7.2,01/01/2008
680,London,8,01/01/2008
681,S West,7.2,01/01/2008
682,Wales,5.8,01/01/2008
683,Scotland,5.4,01/01/2008
684,N Ireland,7.8,01/01/2008
685,UK,6.1,01/01/2008
686,North,5,04/01/2008
687,Yorks & H,5.4,04/01/2008
688,N West,5.4,04/01/2008
689,E Mids,5.3,04/01/2008
690,W Mids,5.7,04/01/2008
691,E Anglia,5.9,04/01/2008
692,Outer SE,6.7,04/01/2008
693,Outer Met,6.9,04/01/2008
694,London,7.6,04/01/2008
695,S West,7,04/01/2008
696,Wales,5.4,04/01/2008
697,Scotland,5.3,04/01/2008
698,N Ireland,7.2,04/01/2008
699,UK,5.8,04/01/2008
700,North,4.7,07/01/2008
701,Yorks & H,5.2,07/01/2008
702,N West,5.2,07/01/2008
703,E Mids,5.1,07/01/2008
704,W Mids,5.5,07/01/2008
705,E Anglia,5.6,07/01/2008
706,Outer SE,6.2,07/01/2008
707,Outer Met,6.4,07/01/2008
708,London,7.3,07/01/2008
709,S West,6.5,07/01/2008
710,Wales,5.3,07/01/2008
711,Scotland,5,07/01/2008
712,N Ireland,6.2,07/01/2008
713,UK,5.5,07/01/2008
714,North,4.5,10/01/2008
715,Yorks & H,4.9,10/01/2008
716,N West,4.9,10/01/2008
717,E Mids,4.7,10/01/2008
718,W Mids,5.1,10/01/2008
719,E Anglia,5.3,10/01/2008
720,Outer SE,5.8,10/01/2008
721,Outer Met,6,10/01/2008
722,London,6.8,10/01/2008
723,S West,6.2,10/01/2008
724,Wales,5.1,10/01/2008
725,Scotland,4.9,10/01/2008
726,N Ireland,5.7,10/01/2008
727,UK,5.2,10/01/2008
728,North,4.3,01/01/2009
729,Yorks & H,4.6,01/01/2009
730,N West,4.6,01/01/2009
731,E Mids,4.5,01/01/2009
732,W Mids,4.9,01/01/2009
733,E Anglia,4.9,01/01/2009
734,Outer SE,5.5,01/01/2009
735,Outer Met,5.8,01/01/2009
736,London,6.3,01/01/2009
737,S West,5.9,01/01/2009
738,Wales,4.6,01/01/2009
739,Scotland,4.6,01/01/2009
740,N Ireland,5.3,01/01/2009
741,UK,4.9,01/01/2009
742,North,4.2,04/01/2009
743,Yorks & H,4.8,04/01/2009
744,N West,4.7,04/01/2009
745,E Mids,4.6,04/01/2009
746,W Mids,5,04/01/2009
747,E Anglia,5.2,04/01/2009
748,Outer SE,5.8,04/01/2009
749,Outer Met,6,04/01/2009
750,London,6.7,04/01/2009
751,S West,6,04/01/2009
752,Wales,5,04/01/2009
753,Scotland,4.7,04/01/2009
754,N Ireland,5.1,04/01/2009
755,UK,5,04/01/2009
756,North,4.3,07/01/2009
757,Yorks & H,4.8,07/01/2009
758,N West,4.8,07/01/2009
759,E Mids,4.7,07/01/2009
760,W Mids,5.1,07/01/2009
761,E Anglia,5.4,07/01/2009
762,Outer SE,5.9,07/01/2009
763,Outer Met,6.3,07/01/2009
764,London,7,07/01/2009
765,S West,6.3,07/01/2009
766,Wales,5,07/01/2009
767,Scotland,4.8,07/01/2009
768,N Ireland,5.5,07/01/2009
769,UK,5.2,07/01/2009
770,North,4.3,10/01/2009
771,Yorks & H,4.9,10/01/2009
772,N West,4.9,10/01/2009
773,E Mids,4.7,10/01/2009
774,W Mids,5.1,10/01/2009
775,E Anglia,5.4,10/01/2009
776,Outer SE,6,10/01/2009
777,Outer Met,6.4,10/01/2009
778,London,7.1,10/01/2009
779,S West,6.3,10/01/2009
780,Wales,5,10/01/2009
781,Scotland,4.8,10/01/2009
782,N Ireland,5.2,10/01/2009
783,UK,5.3,10/01/2009
784,North,4.2,01/01/2010
785,Yorks & H,4.9,01/01/2010
786,N West,4.8,01/01/2010
787,E Mids,4.8,01/01/2010
788,W Mids,5.1,01/01/2010
789,E Anglia,5.4,01/01/2010
790,Outer SE,6.1,01/01/2010
791,Outer Met,6.4,01/01/2010
792,London,7.2,01/01/2010
793,S West,6.3,01/01/2010
794,Wales,5,01/01/2010
795,Scotland,4.7,01/01/2010
796,N Ireland,5,01/01/2010
